COUNTYNS,GEOID,ALAND,AWATER,NAME,State,UniqueID,TREND_Z,TREND_P,TREND_BIN,CATEGORY,PATTERN,PERC_HOT,PERC_COLD,SUM_VALUE,MIN_VALUE,MAX_VALUE,MEAN_VALUE,STD_VALUE,MED_VALUE,population,populati_1,populati_2,raceandhis,wealth_pci,ownerrente,ownerren_1,ownerren_2,ownerren_3,households,househol_1,househol_2,househol_3,populati_3,populati_4,historical,housingcos,housingc_1,housingc_2,housingc_3,homevalue_,Point_Coun,END_DATE1_,END_DATE11,END_DATE_1,END_DATE_2,END_DATE_3,END_DATE_4,END_DATE_5,END_DATE_6,END_DATE_7,END_DATE_8,END_DATE_9,END_DAT_10,END_DAT_11,END_DAT_12,END_DAT_13,END_DAT_14,END_DAT_15,END_DAT_16,END_DAT_17,Shape__Are,Shape__Len,GlobalID,PM25Weight
424253,17103,1877336056,10634483,Lee County,Illinois,647,-3.918384,8.91446E-05,-3,3,Intensifying Hot Spot,100,0,233.8552321,9.26283316,16.43538995,12.30817011,2.137691993,12.13667326,-0.01,-0.2,-0.59,4387,31886,3510,25.78,10104,74.22,1694,12.37,12005,87.63,35361,34335,36176,0,547,0,13699,164420,39,16.43538995,13.09338599,14.91288253,14.97759132,14.54856861,15.47230998,12.13667326,13.46757157,13.03795656,11.60932872,11.47620928,10.80997039,9.940473827,10.15454097,9.26283316,9.662043434,10.61692994,12.28193485,9.958637713,3394194434,256075.4466,{76789189-724C-4F41-88ED-CB72F1A421A8},12.5179638
424254,17105,2702980759,5975818,Livingston County,Illinois,648,-4.058326286,4.94257E-05,-3,4,Persistent Hot Spot,100,0,245.6749306,9.053194453,19.22732638,12.93025951,2.682743714,12.5759375,-0.19,-0.42,-0.58,4352,28677,4128,28.57,10322,71.43,1881,13.14,12439,86.86,37459,36393,38931,0,551,0,14320,151824,52,19.22732638,14.39357639,17.20434027,15.66461806,14.80791668,15.53236114,12.49559029,14.33586805,13.72590278,12.5759375,10.78895833,10.46236111,11.24256945,10.7404861,9.053194453,10.24958334,11.11038195,12.60215278,9.461805555,4745063142,298504.2491,{47F95156-DD59-4AF0-87F2-823B7855A8D3},12.91254433
424255,17107,1600795502,2252736,Logan County,Illinois,649,-4.478153143,7.52916E-06,-3,4,Persistent Hot Spot,100,0,244.4893007,8.574058588,19.6495517,12.86785793,2.950107155,11.95517037,-0.29,-0.18,-0.39,4342,28470,3261,29.57,7766,70.43,878,8.08,9994,91.92,29815,29244,30318,0,507,127208,10872,144057,30,19.6495517,15.70286911,17.45289899,16.46670651,15.73753736,15.30161387,12.61153616,13.40854751,12.58087269,11.58033473,10.72044232,10.45809923,11.44698144,10.73227735,8.574058588,10.21010161,10.55786016,11.95517037,9.341841008,2744911725,219825.7554,{0BDC85FC-1509-4033-B5B4-23F71FE51C71},12.91730913
1784729,17109,1526558588,2012555,McDonough County,Illinois,650,-4.198268571,2.68964E-05,-3,4,Persistent Hot Spot,94.73684211,0,218.7217767,7.923072195,16.13411474,11.51167246,2.354891888,10.84916717,-0.09,-0.34,-0.7,3942,25937,4489,36.36,7858,63.64,2325,20.59,8967,79.41,31598,30507,32596,0,506,0,11292,130840,31,16.13411474,12.71431215,14.9178285,14.91554596,14.09222703,14.37735964,10.59975325,12.46890809,11.07267119,10.84916717,10.15835903,9.53917332,10.51542258,9.783652064,7.923072195,9.57809992,9.134484893,11.61906232,8.328562611,2642994451,205759.4275,{C4AF3BE6-58F1-4E7A-A49E-064A9F39FCAA},11.81091232
1784815,17111,1562818741,19869602,McHenry County,Illinois,651,-4.128297428,3.65459E-05,-3,3,Intensifying Hot Spot,100,0,232.7734097,9.498223489,16.45329514,12.25123209,1.8985429,12.44045845,1.73,0.21,0.46,62927,38720,22435,19.91,90266,80.09,7330,6.56,104482,93.44,314718,322057,308910,0,1012,0,111812,267889,30,16.45329514,13.4738682,14.63782236,14.09421203,13.80733525,14.07455587,12.52206303,13.2914613,13.43002865,11.66550143,11.20051575,11.06859599,9.498223489,10.73547278,9.73759312,9.956217751,10.74544412,12.44045845,9.940744978,2897214543,215648.5967,{83D3CAD1-99D5-4938-8620-4C1AB812BB44},12.62637103
1784833,17113,3064559693,7853695,McLean County,Illinois,652,-4.198268571,2.68964E-05,-3,4,Persistent Hot Spot,100,0,241.2953856,8.764784475,19.4901943,12.69975714,2.838013653,12.1721008,1.2,0.13,-0.01,35979,34426,24615,37.23,41503,62.77,9826,14.85,56333,85.15,171629,171510,169689,0,710,0,66159,214531,61,19.4901943,14.92765635,17.17161505,15.56481481,14.97015786,15.38217973,12.21393443,13.7365513,13.19802672,11.85330904,10.51350941,10.16226473,10.94957499,10.44659987,8.764784475,9.955798427,10.59083183,12.1721008,9.231481469,5317856965,317777.7961,{5A4DCDAB-D0BF-46FA-8551-460E4894E4A7},13.19945228
424256,17115,1503684098,13406667,Macon County,Illinois,653,-4.618095428,3.87278E-06,-3,4,Persistent Hot Spot,100,0,246.2615337,8.772972981,20.64110623,12.96113335,3.06848995,11.92143306,-0.35,-0.43,-0.65,26049,30193,10638,23.87,33936,76.13,6851,15.53,37262,84.47,106433,103034,110735,0,523,0,44113,152049,29,20.64110623,16.24236331,16.82985546,16.22206162,15.55009429,15.14016343,12.79842866,14.55681962,13.23689503,11.92143306,10.56247643,10.35832811,11.1788812,10.75348837,8.772972981,9.873978627,10.56008803,11.78447518,9.277624131,2577837452,221304.5668,{356B31B6-D83A-48E5-AE62-4222C51A5DCE},13.36486488
424257,17117,2234952036,12252472,Macoupin County,Illinois,654,-4.408182,1.04242E-05,-3,4,Persistent Hot Spot,100,0,243.4282052,8.309359,19.76393161,12.8120108,3.219853363,11.93572652,-0.26,-0.15,-0.49,2017,26884,4721,24.65,14430,75.35,2328,12.4,16444,87.6,47104,45952,47801,0,495,137498,18772,151060,46,19.76393161,15.88384617,17.49662394,17.41247861,15.60418804,15.36764959,12.67559829,14.47547008,12.71081196,11.40166666,10.20397436,9.786324771,11.22213676,10.2875641,8.309359,9.801196579,10.12833336,11.93572652,8.961324778,3753592439,251159.8384,{23BE1CCC-FDC0-4A33-A5C0-8FFCB7CF78EB},12.93964634
424258,17119,1854559319,63450780,Madison County,Illinois,655,-4.198268571,2.68964E-05,-3,4,Persistent Hot Spot,100,0,247.1252156,8.638964987,19.87118212,13.00659029,3.16112867,12.13937088,0.39,0.03,-0.11,42327,29974,34276,31.48,74622,68.52,14211,13.23,93202,86.77,270050,268508,269395,0,627,0,107413,186972,37,19.87118212,15.68026383,17.72064941,17.27848806,15.86590564,15.31968545,12.96423136,15.32973111,12.82293252,11.53110096,10.27899544,9.824758972,11.17316084,10.58117707,8.638964987,10.28797564,10.52399798,12.13937088,9.292643318,3165146855,254288.6061,{C46FF608-54EF-44F8-A680-469E97825A31},13.06761236
424259,17121,1482641176,9301714,Marion County,Illinois,656,-4.268239714,1.97022E-05,-3,4,Persistent Hot Spot,100,0,253.5251647,9.359617919,20.85994731,13.34342972,3.279187875,12.25237154,-0.55,-0.31,-0.54,3616,25828,4105,25.84,11783,74.16,2522,15.85,13391,84.15,38327,37311,39424,0,454,0,15913,111063,29,20.85994731,16.82674571,17.50250328,16.59499341,15.94835309,16.12200264,13.90862977,16.54650857,13.17259554,11.41403162,10.39538864,9.872727289,11.03952569,11.18445322,9.36245059,10.36462451,10.79769434,12.25237154,9.359617919,2449743251,199180.2055,{9135C3F2-C688-4DC9-82D3-6CF16EFD9FB9},13.30677643
