LOCATION,UNIQUEID,TREND_Z,TREND_P,TREND_BIN,CATEGORY,PATTERN,PERC_HOT,PERC_COLD,TREND_Z_1,SUM_VALUE,MIN_VALUE,MAX_VALUE,MEAN_VALUE,STD_VALUE,MED_VALUE,END_DATE1_,END_DATE11,END_DATE_1,END_DATE_2,END_DATE_3,END_DATE_4,END_DATE_5,END_DATE_6,END_DATE_7,END_DATE_8,END_DATE_9,END_DAT_10,END_DAT_11,END_DAT_12,END_DAT_13,END_DAT_14,END_DAT_15,END_DAT_16,END_DAT_17,Shape__Are,Shape__Len,GlobalID
60911,60912,-4.058326286,4.94257E-05,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.559769143,241.546153986000007,8.980769212429999,20.503846205199999,12.712955472899999,3.115294840160000,12.005769234400001,20.503846205199999,15.176923128300000,17.723077040500002,14.551923036600000,15.540384586000000,15.334615432300000,13.117307663000000,14.399999985299999,11.580769208800000,12.005769234400001,9.513461516450000,9.230769194090000,10.711538498199999,11.148076919399999,9.009615421299999,10.246153849800001,10.078846197900001,12.692307655600001,8.980769212429999,78591426.222699999809265,33983.792599000000337,{9d0dc97c-7041-4910-aea6-c94fe915c840}
60912,60913,-4.058326286,4.94257E-05,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.909624857,240.233333877000007,8.850980375330000,20.264705994500002,12.643859677800000,3.110568957280000,11.892156881400000,20.264705994500002,14.903921613500000,17.682353075799998,14.515686278200000,15.570588298900001,15.484313833900000,13.156862801200001,14.423529400500000,11.521568653599999,11.892156881400000,9.366666606830000,9.117647114920000,10.543137344700000,11.209803917800000,9.086274464930000,10.394117654500000,9.799999985039999,12.449019581700000,8.850980375330000,78523238.734400004148483,33965.624231399997370,{df1cc3b8-8686-4fcd-931f-62fc90d7fa60}
60913,60914,-3.918384,8.91446E-05,-3,4,Persistent Hot Spot,100.000000000000000,0,-1.119538286,243.918868110000005,9.054717036910001,20.450943533000000,12.837835163699999,3.121217034150000,12.016981142900001,20.450943533000000,15.266037725100000,17.894339705400000,14.492452855400000,15.873584855300001,15.747169854499999,13.267924488700000,14.547169739299999,11.747169818500000,12.016981142900001,9.505660344970000,9.128301872400000,10.705660424100000,11.430188736800000,9.371698073619999,10.654716959500000,10.047169811300000,12.716981132100001,9.054717036910001,78591428.074200004339218,33980.484210199996596,{f99056a1-4153-4850-bab2-cabdda3703c4}
60914,60915,-3.988355143,6.6533E-05,-3,4,Persistent Hot Spot,100.000000000000000,0,-1.259480571,247.515137414000009,9.138000001909999,20.939215604000001,13.027112495500001,3.274284241190000,12.050980399600000,20.939215604000001,15.452941165300000,18.298039211900001,14.992156888900000,16.300000115900001,16.276470633100001,13.578431316500000,14.796078438900000,12.050980399600000,12.003921583600000,9.638000011440001,9.138000001909999,10.860000038100001,11.435999908399999,9.420000028610000,10.608000011400000,10.040000038100001,12.532000045800000,9.154901971999999,78523237.121099993586540,33962.326466099999379,{116b934f-ab2c-47f1-a54a-f1496528f302}
61517,61518,-4.058326286,4.94257E-05,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.769682571,229.912766212999998,8.559574472140000,19.417021244099999,12.100671906000001,2.960736914010000,11.370212696999999,19.417021244099999,14.421276681000000,16.925531874299999,13.823404210700000,14.782978686900000,14.687234087200000,12.600000056800001,13.819148936200000,11.044680838900000,11.370212696999999,9.059574512730000,8.780851100350000,10.153191525900001,10.591489426600001,8.614893730650000,9.861702168240001,9.540425523800000,11.859574439699999,8.559574472140000,78659777.187500000000000,33998.687111999999615,{2d8f6367-b91e-4938-a6b5-925251c3cb90}
61518,61519,-3.918384,8.91446E-05,-3,4,Persistent Hot Spot,100.000000000000000,0,-0.839653714,236.309615575000009,8.734615325929999,20.015384527399998,12.437348188200000,3.092563007570000,11.619230802200001,20.015384527399998,14.821153860800001,17.442307765700001,14.094230835299999,15.317307710600000,15.215384666700000,12.953846216200001,14.292307688599999,11.461538479900000,11.619230802200001,9.248076897400001,8.800000007340000,10.359615380899999,10.865384597000000,8.861538556910000,10.101923025600000,9.730769194090000,12.375000036699999,8.734615325929999,78728283.085899993777275,34013.609269499997026,{65498aeb-189a-4c80-89f9-8d73185b8dfa}
61519,61520,-3.848412857,0.000118886,-3,4,Persistent Hot Spot,100.000000000000000,0,-1.189509429,235.032608592000003,8.610869573510000,19.602173929599999,12.370137294299999,3.086712684300000,11.606521751600001,19.602173929599999,14.623912997900000,17.439130492800000,14.191304310500000,15.419565221499999,15.476086989700001,13.028260894400001,14.184782587999999,11.513043445099999,11.606521751600001,9.121739149090001,8.610869573510000,10.213043482400000,10.843478202800000,8.913043540460000,9.978260931760000,9.484782592109999,11.995652032900001,8.786956465759999,78659775.324200004339218,33995.372407499999099,{a5718666-ba2d-4686-8953-7577ee4dd2ac}
61520,61521,-3.848412857,0.000118886,-3,4,Persistent Hot Spot,100.000000000000000,0,-1.189509429,235.388461379000006,8.726923080590000,19.505769179400001,12.388866388400000,3.036906118530000,11.490384578700001,19.505769179400001,14.378846205200000,17.265384564000001,14.457692329700000,15.415384604400000,15.517307721700000,12.923076923100000,14.296153802099999,11.490384578700001,11.457692329700000,9.351923062250000,8.726923080590000,10.307692307700000,10.913461538500000,9.011538450530001,9.938461468770001,9.538461520120000,12.148076901100000,8.744230811410000,78728283.550799995660782,34010.289230199996382,{fc5c14f5-a87f-4716-830a-9df310ca9a9c}
61527,61528,-3.918384,8.91446E-05,-3,5,Diminishing Hot Spot,100.000000000000000,0,-1.679307429,246.076595956000006,9.327659606930000,20.506383003100002,12.951399787100000,3.206302703500000,12.131914950400001,20.506383003100002,15.527659619100000,17.657446780099999,14.742553142800000,16.029787225900002,16.900000044599999,13.529787246200000,15.236170160000000,12.131914950400001,11.555319217899999,9.780851039480000,9.327659606930000,10.457446838899999,11.412765989900000,9.646808553250001,10.231914844900000,9.742553203660000,12.176595769000000,9.482978719349999,78659775.324200004339218,33982.172239300001820,{7a28e06e-e28e-4290-acd1-927d85d3d434}
61528,61529,-3.988355143,6.6533E-05,-3,5,Diminishing Hot Spot,100.000000000000000,0,-1.819249714,231.067647295999990,8.727451015920000,18.945097904600001,12.161455120799999,3.026226069840000,11.294117609700001,18.945097904600001,14.686274565900000,16.792156948799999,13.876470584500000,15.021568597500000,16.147058935699999,12.694117676999999,14.315686300699999,11.294117609700001,10.817647036400000,9.228846146510000,8.748076860719999,9.773076992769999,10.778846190499999,9.013461571470000,9.532692294849999,9.209615413960000,11.465384648400001,8.727451015920000,78728283.792999997735023,33997.066569100003107,{12312427-fa76-42bf-b553-f201baab0946}
