GEOID,GEOG,F2000_POP,F2010_POP,F2020_POP,F2020_HH,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2010,HA_90_10,HA_70_90,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_500_1M,HV_GT_1M,MED_HV,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,DISAB_ONE,DISAB_TWOMOR,DISAB_ANY,DIS_HEAR,DIS_VIS,DIS_COG,DIS_AMB,DIS_SLFCARE,POP_18OV,DIS_INDPLIV,DIS_UND18,DIS_18_64,DIS_65_75,DIS_75OV,UNINSURED,DIS_UNINSURED,TOT_EMP_RES,RAC_NAICS1_TYPE,RAC_NAICS2_TYPE,RAC_NAICS3_TYPE,RAC_NAICS4_TYPE,RAC_NAICS5_TYPE,RAC_NAICS1_COUNT,RAC_NAICS2_COUNT,RAC_NAICS3_COUNT,RAC_NAICS4_COUNT,RAC_NAICS5_COUNT,RES_GEOG1_TYPE,RES_GEOG2_TYPE,RES_GEOG3_TYPE,RES_GEOG4_TYPE,RES_GEOG5_TYPE,RES_GEOG1_CT,RES_GEOG2_CT,RES_GEOG3_CT,RES_GEOG4_CT,RES_GEOG5_CT,TOT_EMP_WORK,WAC_NAICS1_TYPE,WAC_NAICS2_TYPE,WAC_NAICS3_TYPE,WAC_NAICS4_TYPE,WAC_NAICS5_TYPE,WAC_NAICS1_COUNT,WAC_NAICS2_COUNT,WAC_NAICS3_COUNT,WAC_NAICS4_COUNT,WAC_NAICS5_COUNT,WORK_GEOG1_TYPE,WORK_GEOG2_TYPE,WORK_GEOG3_TYPE,WORK_GEOG4_TYPE,WORK_GEOG5_TYPE,WORK_GEOG1_CT,WORK_GEOG2_CT,WORK_GEOG3_CT,WORK_GEOG4_CT,WORK_GEOG5_CT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,devs,resid_units,nonresid_sqft,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN_,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,F2000_WHITE,F2000_HISP,F2000_BLACK,F2000_ASIAN,F2000_OTHER,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,withdrawals_2018_deep_groundwat,withdrawals_2018_lake_michigan,withdrawals_2018_other_river,withdrawals_2018_shallow_ground,percent_2018_deep_groundwater,percent_2018_lake_michigan,percent_2018_other_river,percent_2018_shallow_groundwate
17031,Cook County,5376741.000000000000000,5194675.000000000000000,5275541.000000000000000,2086940.000000000000000,5185812.000000000000000,290804.000000000000000,942302.000000000000000,1143289.000000000000000,1043420.000000000000000,959690.000000000000000,477139.000000000000000,227541.000000000000000,101627.000000000000000,37.799999999999997,2102352.000000000000000,1374034.000000000000000,1148288.000000000000000,397936.000000000000000,163202.000000000000000,5100700.000000000000000,4204590.000000000000000,2783460.000000000000000,2590618.000000000000000,191304.000000000000000,1421130.000000000000000,2535861.000000000000000,417538.000000000000000,2118323.000000000000000,1426145.000000000000000,196983.000000000000000,329280.000000000000000,123111.000000000000000,42804.000000000000000,67472555.000000000000000,374197.000000000000000,860388.000000000000000,597381.000000000000000,252612.000000000000000,3631086.000000000000000,423440.000000000000000,805456.000000000000000,635142.000000000000000,243855.000000000000000,884983.000000000000000,638210.000000000000000,335740.000000000000000,335309.000000000000000,297564.000000000000000,256665.000000000000000,356146.000000000000000,503154.000000000000000,81797.000000000000000,47801.000000000000000,2084578.000000000000000,1198834.000000000000000,885744.000000000000000,185771.000000000000000,2270349.000000000000000,903365.000000000000000,123778.000000000000000,210311.000000000000000,237405.000000000000000,221216.000000000000000,110247.000000000000000,445051.000000000000000,18976.000000000000000,5.100000000000000,100411.000000000000000,318777.000000000000000,448333.000000000000000,768365.000000000000000,634463.000000000000000,1961.000000000000000,472519.000000000000000,694164.000000000000000,713742.000000000000000,288265.000000000000000,101659.000000000000000,166582.000000000000000,193482.000000000000000,55950.000000000000000,305200.000000000000000,53648.000000000000000,142184.000000000000000,297408.000000000000000,275525.000000000000000,88138.000000000000000,1381.000000000000000,1968569.000000000000000,193343.000000000000000,116009.000000000000000,1924069.000000000000000,1859300.000000000000000,160509.000000000000000,301884.000000000000000,273528.000000000000000,575412.000000000000000,127647.000000000000000,115252.000000000000000,212434.000000000000000,296562.000000000000000,114826.000000000000000,4030822.000000000000000,222523.000000000000000,39631.000000000000000,284613.000000000000000,106388.000000000000000,144780.000000000000000,460523.000000000000000,31253.000000000000000,2155780.000000000000000,Health Care,Professional,Retail Trade,Education,Administration,309384.000000000000000,208443.000000000000000,198485.000000000000000,196429.000000000000000,175179.000000000000000,Cook County,DuPage County,Lake County,Will County,Kane County,1668902.000000000000000,193429.000000000000000,82580.000000000000000,59303.000000000000000,33783.000000000000000,2420366.000000000000000,Health Care,Professional,Retail Trade,Education,Administration,344632.000000000000000,257956.000000000000000,217108.000000000000000,214641.000000000000000,194963.000000000000000,Cook County,DuPage County,Will County,Lake County,Kane County,1668902.000000000000000,176404.000000000000000,111127.000000000000000,107132.000000000000000,68789.000000000000000,2149402.000000000000000,2131857.000000000000000,2232926.000000000000000,11618.388590000000477,103073000000.000000000000000,79505334385.000000000000000,132355000000.000000000000000,54395853526.000000000000000,11845075535.000000000000000,557995667.000000000000000,6198173.000000000000000,0,199160000000.000000000000000,604.000000000000000,33231.000000000000000,48541947.000000000000000,613031.407531760050915,181084.939348006999353,0.295392597,30719.246027353201498,0.050110395,2443.782920229709816,0.003986391,32418.955854876599915,0.052883026,35563.332710636801494,0.058012252,36045.560334538997267,0.05879888,158129.264875199995004,0.257946433,13986.127229510899269,0.022814699,99549.322546261697426,0.162388617,23090.875685144801537,0.037666709,714789.000000000000000,622884.000000000000000,301503.000000000000000,445402.000000000000000,1211099.000000000000000,171216.000000000000000,873479.000000000000000,218263.000000000000000,4250.000000000000000,14382.000000000000000,199631.000000000000000,398059.000000000000000,37868.000000000000000,65658.000000000000000,294533.000000000000000,293131.000000000000000,73044.000000000000000,100276.000000000000000,119811.000000000000000,1109052.000000000000000,721788.000000000000000,274744.000000000000000,112520.000000000000000,4076064.000000000000000,1109748.000000000000000,4895008.000000000000000,1738728.000000000000000,678937.000000000000000,3156280.000000000000000,1028255.000000000000000,204908.000000000000000,67828.000000000000000,48429.000000000000000,48573.000000000000000,25306.000000000000000,67207.000000000000000,200215.000000000000000,48007.000000000000000,2558709.000000000000000,1071740.000000000000000,1390448.000000000000000,257843.000000000000000,98001.000000000000000,41.000000000000000,50.000000000000000,26.000000000000000,33.000000000000000,15.000000000000000,17.000000000000000,6.298767557828157,664.111694863075058,36.096962501552461,5.960403762685272,0.88407747,93.212867742911683,5.066469115969684,0.836585671
17043,DuPage County,904161.000000000000000,916924.000000000000000,932877.000000000000000,348216.000000000000000,927263.000000000000000,52102.000000000000000,177828.000000000000000,168770.000000000000000,183934.000000000000000,188494.000000000000000,93703.000000000000000,44903.000000000000000,17529.000000000000000,40.000000000000000,585489.000000000000000,145993.000000000000000,45002.000000000000000,116584.000000000000000,34195.000000000000000,914097.000000000000000,745597.000000000000000,509891.000000000000000,484917.000000000000000,24539.000000000000000,235706.000000000000000,476422.000000000000000,92638.000000000000000,383784.000000000000000,316728.000000000000000,32258.000000000000000,21513.000000000000000,7768.000000000000000,5517.000000000000000,10758145.000000000000000,14825.000000000000000,112975.000000000000000,151582.000000000000000,70115.000000000000000,642776.000000000000000,43772.000000000000000,116324.000000000000000,105448.000000000000000,46544.000000000000000,195975.000000000000000,134713.000000000000000,28988.000000000000000,39405.000000000000000,46846.000000000000000,43923.000000000000000,68120.000000000000000,122215.000000000000000,110502.000000000000000,57051.000000000000000,349497.000000000000000,255581.000000000000000,93916.000000000000000,16602.000000000000000,366099.000000000000000,213940.000000000000000,44034.000000000000000,2835.000000000000000,14016.000000000000000,24432.000000000000000,21377.000000000000000,44236.000000000000000,1229.000000000000000,6.100000000000000,18159.000000000000000,85878.000000000000000,147469.000000000000000,94808.000000000000000,19785.000000000000000,1978.000000000000000,47365.000000000000000,88783.000000000000000,118238.000000000000000,87610.000000000000000,24103.000000000000000,15621.000000000000000,58411.000000000000000,11501.000000000000000,374100.000000000000000,2426.000000000000000,5382.000000000000000,30021.000000000000000,43960.000000000000000,9184.000000000000000,1628.000000000000000,339430.000000000000000,15639.000000000000000,10067.000000000000000,336084.000000000000000,329798.000000000000000,13413.000000000000000,42935.000000000000000,34659.000000000000000,77594.000000000000000,22073.000000000000000,13160.000000000000000,26374.000000000000000,36719.000000000000000,14887.000000000000000,713177.000000000000000,28635.000000000000000,6224.000000000000000,33176.000000000000000,15705.000000000000000,22489.000000000000000,48447.000000000000000,2893.000000000000000,434515.000000000000000,Health Care,Professional,Retail Trade,Manufacturing,Education,52908.000000000000000,46695.000000000000000,39888.000000000000000,39865.000000000000000,36869.000000000000000,DuPage County,Cook County,Kane County,Will County,Lake County,179758.000000000000000,176404.000000000000000,22261.000000000000000,19289.000000000000000,11556.000000000000000,583363.000000000000000,Health Care,Professional,Manufacturing,Administration,Retail Trade,71377.000000000000000,58722.000000000000000,56203.000000000000000,54351.000000000000000,53461.000000000000000,Cook County,DuPage County,Will County,Kane County,Lake County,193429.000000000000000,179758.000000000000000,62247.000000000000000,47865.000000000000000,17236.000000000000000,512453.000000000000000,542236.000000000000000,564019.000000000000000,15938.148619999999937,28863749052.000000000000000,23565205646.000000000000000,36322215230.000000000000000,7557732266.000000000000000,4141806371.000000000000000,69463321.000000000000000,3112004.000000000000000,0,48094329192.000000000000000,170.000000000000000,5175.000000000000000,17850403.000000000000000,215332.460028111992870,74592.159116256792913,0.346404621,5374.590274798980317,0.024959499,52.781756184524397,0.000245118,13124.410890416600523,0.060949524,15801.636183704500581,0.073382509,12658.115205710300870,0.058784055,43897.412514249597734,0.20385878,2414.558081828060040,0.011213164,41863.022327308099193,0.194411109,5553.773677654639869,0.025791623,86547.000000000000000,117320.000000000000000,57723.000000000000000,87907.000000000000000,244074.000000000000000,20430.000000000000000,105423.000000000000000,18136.000000000000000,138.000000000000000,779.000000000000000,17219.000000000000000,45397.000000000000000,3322.000000000000000,6711.000000000000000,35364.000000000000000,46214.000000000000000,8721.000000000000000,15380.000000000000000,22113.000000000000000,233185.000000000000000,152821.000000000000000,58663.000000000000000,21701.000000000000000,740131.000000000000000,187132.000000000000000,875161.000000000000000,257199.000000000000000,85510.000000000000000,617962.000000000000000,99461.000000000000000,34169.000000000000000,11524.000000000000000,9633.000000000000000,7915.000000000000000,3029.000000000000000,22171.000000000000000,65417.000000000000000,3880.000000000000000,711966.000000000000000,81366.000000000000000,26977.000000000000000,70908.000000000000000,12944.000000000000000,49.000000000000000,59.000000000000000,31.000000000000000,39.000000000000000,17.000000000000000,20.000000000000000,4.471999171869362,68.836860704544264,4.512498415693264,4.003634765871447,5.465321785851738,84.126937420903730,5.514816741256385,4.892924051988139
17089,Kane County,404119.000000000000000,515269.000000000000000,516522.000000000000000,180374.000000000000000,516097.000000000000000,30266.000000000000000,109365.000000000000000,93970.000000000000000,103073.000000000000000,102045.000000000000000,46834.000000000000000,22877.000000000000000,7667.000000000000000,38.600000000000001,282290.000000000000000,170629.000000000000000,25051.000000000000000,20168.000000000000000,17959.000000000000000,510746.000000000000000,406595.000000000000000,282434.000000000000000,268173.000000000000000,14051.000000000000000,124161.000000000000000,262817.000000000000000,37731.000000000000000,225086.000000000000000,188967.000000000000000,23448.000000000000000,4442.000000000000000,4048.000000000000000,4181.000000000000000,6366865.000000000000000,8397.000000000000000,49000.000000000000000,77121.000000000000000,48678.000000000000000,343837.000000000000000,44681.000000000000000,78150.000000000000000,66975.000000000000000,25164.000000000000000,82943.000000000000000,45924.000000000000000,16911.000000000000000,23643.000000000000000,25826.000000000000000,24554.000000000000000,39234.000000000000000,53028.000000000000000,100678.000000000000000,46013.000000000000000,183196.000000000000000,138755.000000000000000,44441.000000000000000,6722.000000000000000,189918.000000000000000,130950.000000000000000,22486.000000000000000,6298.000000000000000,6142.000000000000000,6224.000000000000000,5348.000000000000000,10762.000000000000000,1708.000000000000000,6.300000000000000,13989.000000000000000,70611.000000000000000,40402.000000000000000,40788.000000000000000,24128.000000000000000,1984.000000000000000,16502.000000000000000,45766.000000000000000,65290.000000000000000,50010.000000000000000,12350.000000000000000,10791.000000000000000,15171.000000000000000,1468.000000000000000,303000.000000000000000,1989.000000000000000,5734.000000000000000,16706.000000000000000,16289.000000000000000,2435.000000000000000,1404.000000000000000,177020.000000000000000,11977.000000000000000,6176.000000000000000,172897.000000000000000,169377.000000000000000,10299.000000000000000,27254.000000000000000,21216.000000000000000,48470.000000000000000,12768.000000000000000,9175.000000000000000,16945.000000000000000,22485.000000000000000,8510.000000000000000,386778.000000000000000,17000.000000000000000,3719.000000000000000,23390.000000000000000,8775.000000000000000,12586.000000000000000,40463.000000000000000,2519.000000000000000,236316.000000000000000,Manufacturing,Health Care,Retail Trade,Education,Administration,28892.000000000000000,26346.000000000000000,24588.000000000000000,20488.000000000000000,19060.000000000000000,Kane County,Cook County,DuPage County,Lake County,Will County,75569.000000000000000,68789.000000000000000,47865.000000000000000,8931.000000000000000,7940.000000000000000,197206.000000000000000,Manufacturing,Education,Health Care,Retail Trade,Administration,30693.000000000000000,22099.000000000000000,19918.000000000000000,19702.000000000000000,18486.000000000000000,Kane County,Cook County,DuPage County,McHenry County,Kendall County,75569.000000000000000,33783.000000000000000,22261.000000000000000,13195.000000000000000,10448.000000000000000,167046.000000000000000,169832.000000000000000,177185.000000000000000,18057.276699999998527,10709120750.000000000000000,8526578331.000000000000000,14238355851.000000000000000,2449942805.000000000000000,1792573259.000000000000000,40347936.000000000000000,338275810.000000000000000,327839.000000000000000,18859823500.000000000000000,110.000000000000000,3566.000000000000000,13151088.000000000000000,335423.424530697986484,62741.647533756702614,0.187052075,1521.258439638670097,0.004535338,83.282053850157595,0.000248289,6528.594824967690329,0.019463741,9575.400597147900044,0.028547203,10437.839503464099835,0.031118398,34768.553242319299898,0.10365571,162963.588819677999709,0.485844389,35101.469673845997022,0.104648236,11701.789842029200372,0.034886621,39984.000000000000000,58636.000000000000000,30653.000000000000000,53923.000000000000000,132829.000000000000000,15718.000000000000000,50367.000000000000000,10825.000000000000000,192.000000000000000,506.000000000000000,10127.000000000000000,27756.000000000000000,2822.000000000000000,4405.000000000000000,20529.000000000000000,25630.000000000000000,6694.000000000000000,7999.000000000000000,10937.000000000000000,116415.000000000000000,76548.000000000000000,29169.000000000000000,10698.000000000000000,427088.000000000000000,89009.000000000000000,485831.000000000000000,155685.000000000000000,56907.000000000000000,330146.000000000000000,127519.000000000000000,6099.000000000000000,846.000000000000000,3193.000000000000000,1247.000000000000000,634.000000000000000,3878.000000000000000,10902.000000000000000,1367.000000000000000,273390.000000000000000,95924.000000000000000,22477.000000000000000,7142.000000000000000,5186.000000000000000,46.000000000000000,56.000000000000000,27.000000000000000,34.000000000000000,19.000000000000000,22.000000000000000,19.090839193105278,0.012234639,11.810249599974767,14.147585061435562,42.366742774061940,0.027151337,26.209523941739882,31.396581947454273
17093,Kendall County,54544.000000000000000,114736.000000000000000,131869.000000000000000,43534.000000000000000,135053.000000000000000,8401.000000000000000,32317.000000000000000,24465.000000000000000,31915.000000000000000,23038.000000000000000,9336.000000000000000,4193.000000000000000,1388.000000000000000,36.000000000000000,85601.000000000000000,29273.000000000000000,11111.000000000000000,4159.000000000000000,4909.000000000000000,134709.000000000000000,102588.000000000000000,74638.000000000000000,71827.000000000000000,2717.000000000000000,27950.000000000000000,70500.000000000000000,9557.000000000000000,60943.000000000000000,54597.000000000000000,4796.000000000000000,732.000000000000000,288.000000000000000,530.000000000000000,2006900.000000000000000,938.000000000000000,9701.000000000000000,19442.000000000000000,14445.000000000000000,86748.000000000000000,5545.000000000000000,20404.000000000000000,19814.000000000000000,9370.000000000000000,20327.000000000000000,11288.000000000000000,2413.000000000000000,3766.000000000000000,7416.000000000000000,6189.000000000000000,11237.000000000000000,13505.000000000000000,110474.000000000000000,43127.000000000000000,44526.000000000000000,37480.000000000000000,7046.000000000000000,1249.000000000000000,45775.000000000000000,33968.000000000000000,7967.000000000000000,282.000000000000000,1071.000000000000000,320.000000000000000,1289.000000000000000,787.000000000000000,91.000000000000000,6.800000000000000,5078.000000000000000,26632.000000000000000,6692.000000000000000,5320.000000000000000,2053.000000000000000,2001.000000000000000,1714.000000000000000,7710.000000000000000,18108.000000000000000,15196.000000000000000,3047.000000000000000,1636.000000000000000,2274.000000000000000,189.000000000000000,298900.000000000000000,114.000000000000000,841.000000000000000,1343.000000000000000,3781.000000000000000,851.000000000000000,1763.000000000000000,43754.000000000000000,2364.000000000000000,772.000000000000000,42961.000000000000000,42382.000000000000000,1565.000000000000000,5779.000000000000000,4529.000000000000000,10308.000000000000000,2291.000000000000000,1187.000000000000000,3871.000000000000000,5133.000000000000000,2024.000000000000000,97539.000000000000000,3331.000000000000000,1138.000000000000000,5085.000000000000000,1826.000000000000000,2259.000000000000000,5961.000000000000000,251.000000000000000,73944.000000000000000,Retail Trade,Health Care,Education,Manufacturing,Professional,8632.000000000000000,8472.000000000000000,7322.000000000000000,6927.000000000000000,5384.000000000000000,Cook County,DuPage County,Kane County,Will County,Kendall County,19918.000000000000000,16778.000000000000000,10448.000000000000000,8590.000000000000000,8546.000000000000000,27851.000000000000000,Retail Trade,Education,Accommodation and Food Service,Transportation,Manufacturing,5217.000000000000000,4563.000000000000000,3257.000000000000000,2706.000000000000000,2177.000000000000000,Kendall County,Will County,Kane County,Cook County,DuPage County,8546.000000000000000,3825.000000000000000,3678.000000000000000,2884.000000000000000,2295.000000000000000,,,,21425.270199999999022,2590117700.000000000000000,1990669813.000000000000000,3902145712.000000000000000,384392550.000000000000000,124011831.000000000000000,10172947.000000000000000,181617465.000000000000000,0,4602340505.000000000000000,16.000000000000000,2016.000000000000000,1149457.000000000000000,206349.736116702988511,21662.547510582899122,0.104979768,191.304496597870013,0.000927089,33.103552994065403,0.000160424,1751.801526446150092,0.008489478,1871.787208265310028,0.009070945,2101.699218787759946,0.010185132,10805.029600124900753,0.052362701,156013.225897336000344,0.756062154,6411.244494894110176,0.031069797,5507.992610673740273,0.026692511,7539.000000000000000,13287.000000000000000,7614.000000000000000,16086.000000000000000,34666.000000000000000,4328.000000000000000,9860.000000000000000,1346.000000000000000,8.000000000000000,9.000000000000000,1329.000000000000000,4320.000000000000000,375.000000000000000,654.000000000000000,3291.000000000000000,7408.000000000000000,1339.000000000000000,1868.000000000000000,4201.000000000000000,30871.000000000000000,17745.000000000000000,9307.000000000000000,3819.000000000000000,120873.000000000000000,14180.000000000000000,126652.000000000000000,26652.000000000000000,7182.000000000000000,100000.000000000000000,18995.000000000000000,1111.000000000000000,455.000000000000000,623.000000000000000,347.000000000000000,108.000000000000000,1321.000000000000000,3150.000000000000000,542.000000000000000,48677.000000000000000,4086.000000000000000,693.000000000000000,479.000000000000000,609.000000000000000,49.000000000000000,59.000000000000000,29.000000000000000,36.000000000000000,20.000000000000000,24.000000000000000,7.373620692438895,0.198829476,0.334129381,1.447418371733995,78.828547470000004,2.125609581714555,3.572048916063127,15.473794027534815
17097,Lake County,644356.000000000000000,703462.000000000000000,714342.000000000000000,253386.000000000000000,711885.000000000000000,38458.000000000000000,152082.000000000000000,130113.000000000000000,137593.000000000000000,144815.000000000000000,65908.000000000000000,30448.000000000000000,12468.000000000000000,38.899999999999999,406806.000000000000000,173796.000000000000000,45108.000000000000000,59534.000000000000000,26641.000000000000000,692322.000000000000000,565747.000000000000000,387586.000000000000000,357339.000000000000000,19095.000000000000000,178161.000000000000000,360495.000000000000000,62393.000000000000000,298102.000000000000000,245071.000000000000000,30265.000000000000000,9949.000000000000000,7803.000000000000000,5014.000000000000000,8578485.000000000000000,12254.000000000000000,72781.000000000000000,112285.000000000000000,59340.000000000000000,471460.000000000000000,44377.000000000000000,92684.000000000000000,82933.000000000000000,30097.000000000000000,129372.000000000000000,91997.000000000000000,25344.000000000000000,30820.000000000000000,32059.000000000000000,29945.000000000000000,48521.000000000000000,89971.000000000000000,108917.000000000000000,55756.000000000000000,256660.000000000000000,190963.000000000000000,65697.000000000000000,13423.000000000000000,270083.000000000000000,179407.000000000000000,27962.000000000000000,6937.000000000000000,8751.000000000000000,10000.000000000000000,11817.000000000000000,20687.000000000000000,4522.000000000000000,6.300000000000000,13524.000000000000000,90233.000000000000000,81837.000000000000000,61151.000000000000000,23338.000000000000000,1982.000000000000000,24353.000000000000000,63885.000000000000000,91396.000000000000000,70360.000000000000000,20089.000000000000000,21025.000000000000000,38891.000000000000000,9600.000000000000000,326600.000000000000000,3168.000000000000000,10188.000000000000000,20884.000000000000000,23526.000000000000000,5493.000000000000000,1434.000000000000000,248221.000000000000000,16901.000000000000000,8439.000000000000000,244649.000000000000000,240027.000000000000000,12011.000000000000000,38792.000000000000000,29941.000000000000000,68733.000000000000000,19137.000000000000000,12468.000000000000000,26332.000000000000000,29986.000000000000000,12185.000000000000000,525464.000000000000000,22586.000000000000000,6313.000000000000000,34108.000000000000000,11974.000000000000000,16338.000000000000000,47962.000000000000000,3456.000000000000000,305458.000000000000000,Manufacturing,Health Care,Retail Trade,Professional,Education,39858.000000000000000,34383.000000000000000,30626.000000000000000,27083.000000000000000,27068.000000000000000,Lake County,Cook County,DuPage County,McHenry County,Kane County,139237.000000000000000,107132.000000000000000,17236.000000000000000,7627.000000000000000,4928.000000000000000,305815.000000000000000,Manufacturing,Retail Trade,Health Care,Education,Administration,53519.000000000000000,33479.000000000000000,30192.000000000000000,28592.000000000000000,23547.000000000000000,Lake County,Cook County,McHenry County,DuPage County,Kane County,139237.000000000000000,82580.000000000000000,20772.000000000000000,11556.000000000000000,8931.000000000000000,271696.000000000000000,280126.000000000000000,280950.000000000000000,17473.193190000001778,17004869681.000000000000000,13762721059.000000000000000,24505603243.000000000000000,4577970732.000000000000000,1204729319.000000000000000,44865862.000000000000000,164656151.000000000000000,0,30497825307.000000000000000,109.000000000000000,1365.000000000000000,6832801.000000000000000,301189.687784601992462,99912.312095184897771,0.331725541,2940.525451343589793,0.009763035,131.240158286505988,0.000435739,12930.272509388900289,0.042930661,11653.696088389500801,0.038692215,7811.184965095680127,0.025934437,49884.914938550697116,0.165626238,39242.083748276199913,0.130290263,58210.541748880998057,0.193268708,18472.916081204901275,0.061333163,60020.000000000000000,83847.000000000000000,42586.000000000000000,70207.000000000000000,183939.000000000000000,18774.000000000000000,72721.000000000000000,15588.000000000000000,467.000000000000000,875.000000000000000,14246.000000000000000,36589.000000000000000,3879.000000000000000,5386.000000000000000,27324.000000000000000,31808.000000000000000,8202.000000000000000,10118.000000000000000,13488.000000000000000,167513.000000000000000,112824.000000000000000,38687.000000000000000,16002.000000000000000,573171.000000000000000,138714.000000000000000,673427.000000000000000,208916.000000000000000,72067.000000000000000,464511.000000000000000,128642.000000000000000,19818.000000000000000,7611.000000000000000,6383.000000000000000,1223.000000000000000,4475.000000000000000,12688.000000000000000,25681.000000000000000,2395.000000000000000,472968.000000000000000,92716.000000000000000,43580.000000000000000,24866.000000000000000,10226.000000000000000,50.000000000000000,61.000000000000000,31.000000000000000,39.000000000000000,18.000000000000000,22.000000000000000,5.005745738971645,53.018986511824131,9.077203479000000,6.580943037000000,6.793634862000000,71.955639355119331,12.319284521218028,8.931441261997758
